,Rank,+/- Rank,,Player,Age,Points,Tourn Played,Code
1,1,,,Novak Djokovic,35,"6,775",16,d643
2,2,,,Carlos Alcaraz,20,"6,770",17,a0e2
3,3,,,Daniil Medvedev,27,"5,330",24,mm58
4,4,,,Casper Ruud,24,"5,165",24,rh16
5,5,,,Stefanos Tsitsipas,24,"5,015",21,te51
6,6,,,Andrey Rublev,25,"4,190",25,re44
7,7,,,Holger Rune,20,"3,865",26,r0dg
8,8,,,Jannik Sinner,21,"3,525",21,s0ag
9,9,+1,,Taylor Fritz,25,"3,380",23,fb98
10,10,-1,,Felix Auger-Aliassime,22,"3,235",23,ag37
11,11,+1,,Karen Khachanov,26,"3,025",23,ke29
12,12,-1,,Frances Tiafoe,25,"2,755",22,td51
13,13,,,Cameron Norrie,27,"2,680",23,n771
14,14,,,Rafael Nadal,36,"2,535",14,n409
15,15,,,Hubert Hurkacz,26,"2,525",23,hb71
16,16,+4,,Borna Coric,26,"2,240",22,cg80
17,17,,,Tommy Paul,25,"2,170",24,pl56
18,18,+1,,Alex de Minaur,24,"1,995",25,dh58
19,19,-1,,Lorenzo Musetti,21,"1,960",27,m0ej
20,20,+1,,Matteo Berrettini,27,"1,832",20,bk40
21,21,+1,,Pablo Carreno Busta,31,"1,785",21,cd85
22,22,-6,,Alexander Zverev,26,"1,630",19,z355
23,23,,,Marin Cilic,34,"1,600",15,c977
24,24,,,Daniel Evans,32,"1,480",26,e687
25,25,,,Roberto Bautista Agut,35,"1,475",27,bd06
26,26,,,Nick Kyrgios,28,"1,465",14,ke17
27,27,,,Denis Shapovalov,24,"1,390",24,su55
28,28,+37,,Jan-Lennard Struff,33,"1,387",24,sl28
29,29,-1,,Sebastian Korda,22,"1,265",18,k0ah
30,30,-1,,Botic van de Zandschulp,27,"1,250",27,v812
31,31,-1,,Francisco Cerundolo,24,"1,200",26,c0au
32,32,+2,,Yoshihito Nishioka,27,"1,171",21,n732
33,33,-1,,Grigor Dimitrov,31,"1,125",21,d875
34,34,+1,,Alejandro Davidovich Fokina,23,"1,115",25,dh50
35,35,+3,,Ben Shelton,20,"1,095",25,s0s1
36,36,,,Tallon Griekspoor,26,"1,091",27,gj37
37,37,-4,,Miomir Kecmanovic,23,"1,055",25,ki95
38,38,+4,,Bernabe Zapata Miralles,26,"1,016",26,z419
39,39,-2,,Jiri Lehecka,21,992,25,l0bv
40,40,-9,,Sebastian Baez,22,985,28,b0bi
41,41,-2,,Maxime Cressy,25,985,28,c0bc
42,42,+10,,Andy Murray,35,965,19,mc10
43,43,-2,,Emil Ruusuvuori,24,957,31,rh24
44,44,-1,,Richard Gasquet,36,931,27,g628
45,45,+1,,Adrian Mannarino,34,927,29,me82
46,46,-6,,Dusan Lajovic,32,924,24,l987
47,47,-3,,Brandon Nakashima,21,902,22,n0ae
48,48,-1,,Lorenzo Sonego,27,890,29,su87
49,49,+6,,Alexander Bublik,25,880,29,bk92
50,50,+27,,Ugo Humbert,24,877,27,hh26
51,51,+2,,Roberto Carballes Baena,30,876,29,cf59
52,52,-2,,Mikael Ymer,24,870,26,y268
53,53,+68,,Aslan Karatsev,29,863,28,kc56
54,54,-5,,J.J. Wolf,24,860,23,w09g
55,55,-1,,Mackenzie McDonald,28,855,27,mk66
56,56,-5,,Nicolas Jarry,27,852,19,j551
57,57,,,Yibing Wu,23,838,17,wb32
58,58,-10,,Jack Draper,21,832,18,d0co
59,59,-1,,Alex Molcan,25,830,22,mv14
60,60,+1,,Marcos Giron,29,826,26,gc88
61,61,-2,,Tomas Martin Etcheverry,23,826,31,ea24
62,62,+8,,Laslo Djere,27,825,27,db63
63,63,-7,,Gregoire Barrere,29,813,30,bk24
64,64,-19,,Benjamin Bonzi,26,808,26,bm95
65,65,+27,,Daniel Altmaier,24,792,29,ae14
66,66,-3,,Jason Kubler,29,782,23,kb95
67,67,-3,,Corentin Moutet,24,781,17,mw02
68,68,-1,,Pedro Cachin,28,777,27,cg04
69,69,+30,,Zhizhen Zhang,26,770,24,z371
70,70,-8,,Constant Lestienne,30,768,28,lb66
71,71,-5,,Quentin Halys,26,761,30,hb64
72,72,-12,,Albert Ramos-Vinolas,35,745,31,r772
73,73,-4,,Ilya Ivashka,29,741,23,i305
74,74,+5,,Filip Krajinovic,31,741,19,kb05
75,75,+13,,Jaume Munar,26,740,30,mu94
76,76,-5,,Jenson Brooksby,22,730,21,b0cd
77,77,-2,,Alexei Popyrin,23,726,26,p09z
78,78,+3,,Christopher O'Connell,28,724,30,o483
79,79,-6,,Cristian Garin,26,723,21,gd64
80,80,+11,,Jordan Thompson,29,723,30,tc61
81,81,-13,,John Isner,38,720,18,i186
82,82,-6,,Marc-Andrea Huesler,26,720,31,hh06
83,83,+2,,Marco Cecchinato,30,720,31,cf01
84,84,,,Stan Wawrinka,38,717,20,w367
85,85,+1,,Luca Van Assche,18,716,30,v0dz
86,86,+4,,Christopher Eubanks,27,715,24,e865
87,87,+2,,Max Purcell,25,714,21,ph71
88,88,-14,,Nuno Borges,26,713,26,bt72
89,89,-9,,Arthur Rinderknech,27,711,22,rc91
90,90,-12,,Federico Coria,31,701,30,ce77
91,91,-19,,Diego Schwartzman,30,695,27,sm37
92,92,-9,,Marton Fucsovics,31,691,22,f724
93,93,+3,,Alexander Shevchenko,22,657,33,s0h2
94,94,+6,,Daniel Elahi Galan,26,647,26,ge33
95,95,-13,,Soonwoo Kwon,25,644,20,kf17
96,96,-3,,Dominic Thiem,29,640,29,tb69
97,97,-10,,Juan Pablo Varillas,27,638,24,v836
98,98,-1,,Thiago Monteiro,28,627,28,mj08
99,99,+6,,Matteo Arnaldi,22,608,31,a0fc
100,100,-6,,Alexandre Muller,26,605,29,mp20
